项目点表区域划分,,,,,,,,,,,,,,
分类,分组,序号,区域,区域,描述,开始M_ID,结束M_ID,开始M_ID（B）,结束M_ID（B）,开始相对id,结束相对id,总点量,配点初始点,初始16进制
,,,,,遥测点号,0x02003300,0x020033FF,33567488,33567743,13056,13311,256,33567519,200331F
,,,,,遥文点号,0x03000CC0,0x03000CFF,50334912,50334975,3264,3327,64,50334919,3000CC7
,,2,制样机,制样机2#,遥信点号,0x01003400,0x010034FF,16790528,16790783,13312,13567,256,16790559,100341F
,,,,,遥测点号,0x02003400,0x020034FF,33567744,33567999,13312,13567,256,33567775,200341F
,,,,,遥文点号,0x03000D00,0x03000D3F,50334976,50335039,3328,3391,64,50334983,3000D07
,,3,制样机,制样机3#,遥信点号,0x01003500,0x010035FF,16790784,16791039,13568,13823,256,16790815,100351F
,,,,,遥测点号,0x02003500,0x020035FF,33568000,33568255,13568,13823,256,33568031,200351F
,,,,,遥文点号,0x03000D40,0x03000D7F,50335040,50335103,3392,3455,64,50335047,3000D47
,,4,备用,备用,遥信点号,0x01003600,0x010036FF,16791040,16791295,13824,14079,256,16791071,100361F
,,,,,遥测点号,0x02003600,0x020036FF,33568256,33568511,13824,14079,256,33568287,200361F
,,,,,遥文点号,0x03000D80,0x03000DBF,50335104,50335167,3456,3519,64,50335111,3000D87
,,5,备用,备用,遥信点号,0x01003700,0x010037FF,16791296,16791551,14080,14335,256,16791327,100371F
,,,,,遥测点号,0x02003700,0x020037FF,33568512,33568767,14080,14335,256,33568543,200371F
,,,,,遥文点号,0x03000DC0,0x03000DFF,50335168,50335231,3520,3583,64,50335175,3000DC7
,,合计,,,遥信数量,1024,遥测数量,1024,遥文数量,257,,,,
,封样设备,1,封样机,封样机1#,遥信点号,0x01003800,0x010038FF,16791552,16791807,14336,14591,256,16791583,100381F
,,,,,遥测点号,0x02003800,0x020038FF,33568768,33569023,14336,14591,256,33568799,200381F
,,,,,遥文点号,0x03000E00,0x03000E3F,50335232,50335295,3584,3647,64,50335263,3000E1F
,,2,封样机,封样机2#,遥信点号,0x01003900,0x010039FF,16791808,16792063,14592,14847,256,16791839,100391F
,,,,,遥测点号,0x02003900,0x020039FF,33569024,33569279,14592,14847,256,33569055,200391F
,,,,,遥文点号,0x03000E40,0x03000E7F,50335296,50335359,3648,3711,64,50335327,3000E5F
,,3,备用,备用,遥信点号,0x01003A00,0x01003AFF,16792064,16792319,14848,15103,256,16792095,1003A1F
,,,,,遥测点号,0x02003A00,0x02003AFF,33569280,33569535,14848,15103,256,33569311,2003A1F
,,,,,遥文点号,0x03000E80,0x03000EBF,50335360,50335423,3712,3775,64,50335391,3000E9F
,,合计,,,遥信数量,768,遥测数量,768,遥文数量,192,,,,
,存样设备,1,存样柜,存样柜1#,遥信点号,0x01003B00,0x01003BFF,16792320,16792575,15104,15359,256,16792351,1003B1F
,,,,,遥测点号,0x02003B00,0x02003BFF,33569536,33569791,15104,15359,256,33569567,2003B1F
,,,,,遥文点号,0x03000EC0,0x03000EFF,50335424,50335487,3776,3839,64,50335455,3000EDF
,,2,存样柜,存样柜2#,遥信点号,0x01003C00,0x01003CFF,16792576,16792831,15360,15615,256,16792607,1003C1F
,,,,,遥测点号,0x02003C00,0x02003CFF,33569792,33570047,15360,15615,256,33569823,2003C1F
,,,,,遥文点号,0x03000F00,0x03000F3F,50335488,50335551,3840,3903,64,50335519,3000F1F
,,3,存样柜,存样柜3#,遥信点号,0x01003D00,0x01003DFF,16792832,16793087,15616,15871,256,16792863,1003D1F
,,,,,遥测点号,0x02003D00,0x02003DFF,33570048,33570303,15616,15871,256,33570079,2003D1F
,,,,,遥文点号,0x03000F40,0x03000F7F,50335552,50335615,3904,3967,64,50335583,3000F5F
,,4,存样柜,存样柜D,遥信点号,0x01003E00,0x01003EFF,16793088,16793343,15872,16127,256,16793119,1003E1F
,,,,,遥测点号,0x02003E00,0x02003EFF,33570304,33570559,15872,16127,256,33570335,2003E1F
,,,,,遥文点号,0x03000F80,0x03000FBF,50335616,50335679,3968,4031,64,50335647,3000F9F
,,合计,,,遥信数量,1024,遥测数量,1024,遥文数量,256,,,,
,取样设备,1,取样柜,取样柜1#,遥信点号,0x01003F00,0x01003FFF,16793344,16793599,16128,16383,256,16793375,1003F1F
,,,,,遥测点号,0x02003F00,0x02003FFF,33570560,33570815,16128,16383,256,33570591,2003F1F
,,,,,遥文点号,0x03000FC0,0x03000FFF,50335680,50335743,4032,4095,64,50335687,3000FC7
,,2,取样柜,取样柜2#,遥信点号,0x01004000,0x010040FF,16793600,16793855,16384,16639,256,16793631,100401F
,,,,,遥测点号,0x02004000,0x020040FF,33570816,33571071,16384,16639,256,33570847,200401F
,,,,,遥文点号,0x03001000,0x0300103F,50335744,50335807,4096,4159,64,50335775,300101F
,,合计,,,遥信数量,512,遥测数量,512,遥文数量,128,,,,
,化验,1,化验,化验1#,遥信点号,0x01004100,0x010041FF,16793856,16794111,16640,16895,256,16793887,100411F
,,,,,遥测点号,0x02004100,0x020041FF,33571072,33571327,16640,16895,256,33571103,200411F
,,,,,遥文点号,0x03001040,0x0300113F,50335808,50336063,4160,4415,256,50335839,300105F
,,2,化验,化验2#,遥信点号,0x01004200,0x010042FF,16794112,16794367,16896,17151,256,16794143,100421F
,,,,,遥测点号,0x02004200,0x020042FF,33571328,33571583,16896,17151,256,33571359,200421F
,,,,,遥文点号,0x03001140,0x0300123F,50336064,50336319,4416,4671,256,50336095,300115F
